timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,prediction
1746285375.870165,1,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,0,10,412000000,20,100,0,9,882,0.9,2.184466019417476e-08,88.2,2.1407766990291263e-06,0
1746285375.870165,1,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,8,10,415000000,20,100,0,10,980,1.0,2.4096385542168677e-08,98.0,2.3614457831325303e-06,0
1746285486.739404,1,10.100.85.255010.0.0.101,10.100.85.255,0,10.0.0.1,0,1,0,8,0,256000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,10.128.174.173010.0.0.101,10.128.174.173,0,10.0.0.1,0,1,0,8,0,256000000,20,100,0,6,972,0.0,0.0,0.0,0.0,0
1746285486.739404,1,10.228.57.81010.0.0.101,10.228.57.81,0,10.0.0.1,0,1,0,8,0,256000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,10.40.228.56010.0.0.101,10.40.228.56,0,10.0.0.1,0,1,0,8,0,256000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,10.46.47.110010.0.0.101,10.46.47.110,0,10.0.0.1,0,1,0,8,0,256000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,100.165.193.78010.0.0.101,100.165.193.78,0,10.0.0.1,0,1,0,8,1,273000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,105.126.69.47010.0.0.101,105.126.69.47,0,10.0.0.1,0,1,0,8,0,758000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,105.164.111.234010.0.0.101,105.164.111.234,0,10.0.0.1,0,1,0,8,0,420000000,20,100,0,0,0,0.0,0.0,0.0,0.0,1
1746285486.739404,1,105.205.2.19010.0.0.101,105.205.2.19,0,10.0.0.1,0,1,0,8,0,885000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,106.241.167.255010.0.0.101,106.241.167.255,0,10.0.0.1,0,1,0,8,1,439000000,20,100,0,0,0,0.0,0.0,0.0,0.0,1
1746285486.739404,1,111.160.87.171010.0.0.101,111.160.87.171,0,10.0.0.1,0,1,0,8,1,537000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,113.114.203.17010.0.0.101,113.114.203.17,0,10.0.0.1,0,1,0,8,0,169000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,113.236.94.233010.0.0.101,113.236.94.233,0,10.0.0.1,0,1,0,8,0,877000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,114.92.152.174010.0.0.101,114.92.152.174,0,10.0.0.1,0,1,0,8,0,341000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,116.208.77.56010.0.0.101,116.208.77.56,0,10.0.0.1,0,1,0,8,1,439000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,117.132.9.208010.0.0.101,117.132.9.208,0,10.0.0.1,0,1,0,8,1,404000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,124.100.55.112010.0.0.101,124.100.55.112,0,10.0.0.1,0,1,0,8,1,201000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,126.105.69.32010.0.0.101,126.105.69.32,0,10.0.0.1,0,1,0,8,0,169000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,126.168.47.223010.0.0.101,126.168.47.223,0,10.0.0.1,0,1,0,8,1,201000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,128.110.223.95010.0.0.101,128.110.223.95,0,10.0.0.1,0,1,0,8,0,516000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,128.111.246.193010.0.0.101,128.111.246.193,0,10.0.0.1,0,1,0,8,0,877000000,20,100,0,0,0,0.0,0.0,0.0,0.0,1
1746285486.739404,1,129.12.114.213010.0.0.101,129.12.114.213,0,10.0.0.1,0,1,0,8,0,169000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,129.128.252.165010.0.0.101,129.128.252.165,0,10.0.0.1,0,1,0,8,1,201000000,20,100,0,0,0,0.0,0.0,0.0,0.0,1
1746285486.739404,1,13.28.117.92010.0.0.101,13.28.117.92,0,10.0.0.1,0,1,0,8,0,469000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,132.37.90.184010.0.0.101,132.37.90.184,0,10.0.0.1,0,1,0,8,1,38000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,132.53.126.47010.0.0.101,132.53.126.47,0,10.0.0.1,0,1,0,8,0,740000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,132.62.173.254010.0.0.101,132.62.173.254,0,10.0.0.1,0,1,0,8,0,581000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,136.106.51.232010.0.0.101,136.106.51.232,0,10.0.0.1,0,1,0,8,0,516000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,136.136.81.127010.0.0.101,136.136.81.127,0,10.0.0.1,0,1,0,8,0,420000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1746285486.739404,1,136.55.194.79010.0.0.101,136.55.194.79,0,10.0.0.1,0,1,0,8,0,397000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
